method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
GET,/api/documentation,"L5Swagger\Http\Controllers\SwaggerController@api","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/docs,"L5Swagger\Http\Controllers\SwaggerController@docs","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/docs/asset/{asset},"L5Swagger\Http\Controllers\SwaggerAssetController@index","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/api/oauth2-callback,"L5Swagger\Http\Controllers\SwaggerController@oauth2Callback","L5Swagger\Http\Middleware\Config",,no,no,no,not_applicable,read_only_route,low
GET,/sanctum/csrf-cookie,"Laravel\Sanctum\Http\Controllers\CsrfCookieController@show",web,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/health,Closure,api,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/auth/login,"App\Http\Controllers\Api\V1\Auth\AuthController@login",api,,no,no,yes,not_applicable,non_transition_mutation,low
POST,/api/v1/auth/register,"App\Http\Controllers\Api\V1\Auth\AuthController@register",api,,no,no,yes,not_applicable,non_transition_mutation,low
POST,/api/v1/auth/logout,"App\Http\Controllers\Api\V1\Auth\AuthController@logout",api|auth:sanctum,,no,no,no,not_applicable,non_transition_mutation,low
GET,/api/v1/auth/me,"App\Http\Controllers\Api\V1\Auth\AuthController@me",api|auth:sanctum,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/internal/run-tests,"App\Http\Controllers\Api\V1\Internal\QaValidationController@run",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/internal/test-results,"App\Http\Controllers\Api\V1\Internal\QaValidationController@results",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/dashboard/summary,"App\Http\Controllers\Api\V1\DashboardController@summary",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/internal/domain-events,"App\Http\Controllers\Api\V1\Internal\DomainEventInspectionController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/overview,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@overview",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/insights,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@insights",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/recommendations,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@recommendations",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/alerts,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@alerts",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/internal/intelligence/command-center,"App\Http\Controllers\Api\V1\Internal\Phase2IntelligenceController@commandCenter",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/internal/intelligence/command-center/governance,"App\Http\Controllers\Api\V1\Internal\CommandCenterGovernanceController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/internal/intelligence/command-center/governance/history,"App\Http\Controllers\Api\V1\Internal\CommandCenterGovernanceController@history",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|intelligent.internal|intelligent.phase2,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/companies,"App\Http\Controllers\Api\V1\CompanyController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,yes,no,not_applicable,read_only_route,low
POST,/api/v1/companies,"App\Http\Controllers\Api\V1\CompanyController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/companies/{company},"App\Http\Controllers\Api\V1\CompanyController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/companies/{company},"App\Http\Controllers\Api\V1\CompanyController@update",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,yes,yes,not_applicable,non_transition_mutation,low-medium
